Tid,Refund,Marital Status,Taxable Income,Cheat
1,No,Divorced,64k,Yes
2,No,Single,225k,Yes
3,Yes,Single,59k,No
4,Yes,Married,153k,No
5,No,Married,147k,No
6,No,Single,59k,No
7,No,Divorced,149k,Yes
8,No,Single,96k,Yes
9,Yes,Single,85k,No
10,No,Married,196k,No
11,No,Married,242k,No
12,No,Single,205k,No
13,No,Divorced,92k,No
14,No,Married,221k,No
15,No,Divorced,181k,Yes
16,No,Married,169k,Yes
17,No,Married,196k,Yes
18,No,Single,135k,Yes
19,No,Divorced,211k,Yes
20,No,Single,235k,Yes
21,No,Married,211k,No
22,No,Single,184k,No
23,No,Divorced,139k,No
24,No,Single,245k,No
25,No,Single,205k,No
26,No,Single,186k,No
27,Yes,Divorced,65k,No
28,No,Single,144k,No
29,Yes,Single,80k,Yes
30,Yes,Married,55k,No
31,Yes,Divorced,242k,No
32,No,Single,61k,Yes
33,Yes,Divorced,51k,No
34,No,Married,79k,No
35,No,Single,194k,Yes
36,No,Divorced,248k,Yes
37,No,Single,109k,No
38,No,Divorced,56k,Yes
39,No,Single,203k,Yes
40,No,Single,139k,No
41,No,Married,54k,No
42,No,Married,116k,No
43,Yes,Single,216k,No
44,No,Married,58k,Yes
45,Yes,Married,115k,No
46,Yes,Married,213k,No
47,Yes,Married,187k,No
48,Yes,Single,92k,No
49,No,Single,76k,Yes
50,No,Single,56k,Yes
51,No,Single,218k,No
52,No,Married,105k,Yes
53,No,Married,202k,No
54,No,Divorced,202k,Yes
55,Yes,Divorced,145k,No
56,No,Single,146k,No
57,No,Single,54k,No
58,No,Single,102k,Yes
59,No,Single,168k,No
60,No,Married,204k,No
61,Yes,Single,130k,Yes
62,Yes,Married,100k,No
63,No,Married,86k,Yes
64,No,Single,81k,Yes
65,No,Single,152k,Yes
66,No,Single,222k,No
67,Yes,Married,126k,No
68,No,Married,120k,No
69,No,Married,240k,Yes
70,No,Divorced,127k,Yes
71,Yes,Married,193k,No
72,No,Divorced,203k,No
73,No,Single,96k,No
74,Yes,Married,67k,Yes
75,No,Married,219k,No
76,No,Single,235k,No
77,No,Married,187k,No
78,Yes,Divorced,248k,No
79,No,Single,184k,No
80,No,Married,234k,No
81,No,Single,200k,Yes
82,No,Married,206k,No
83,No,Single,64k,Yes
84,No,Married,158k,Yes
85,No,Divorced,136k,No
86,No,Single,240k,No
87,No,Married,224k,No
88,No,Divorced,132k,Yes
89,No,Divorced,220k,Yes
90,Yes,Married,106k,Yes
91,No,Divorced,76k,Yes
92,No,Divorced,121k,No
93,No,Single,210k,No
94,No,Married,116k,No
95,Yes,Married,249k,No
96,Yes,Married,225k,No
97,No,Married,226k,Yes
98,No,Divorced,170k,Yes
99,Yes,Married,95k,Yes
100,No,Divorced,116k,Yes
101,No,Divorced,85k,Yes
102,No,Divorced,227k,Yes
103,Yes,Married,50k,No
104,No,Single,166k,No
105,No,Married,84k,No
106,No,Divorced,70k,Yes
107,No,Single,131k,No
108,No,Divorced,74k,Yes
109,Yes,Married,89k,Yes
110,No,Single,111k,Yes
111,No,Married,66k,Yes
